sync,1048576,2147483648,1129318018
sync,102400,2147328000,1712133451
sync,10240,2147471360,6499568057
sync,1024,2147483648,57493248170
sync,128,2147483648,303243670634
sync,1048576,2147483648,1157162559
sync,102400,2147328000,1658443802
sync,10240,2147471360,6658564746
sync,1024,2147483648,52315159724
sync,128,2147483648,301030883926
sync,1048576,2147483648,1169860682
sync,102400,2147328000,1714701353
sync,10240,2147471360,6937688632
sync,1024,2147483648,56495250524
sync,128,2147483648,319232962132
async,1048576,2147483648,900943142
async,102400,2147328000,1180327237
async,10240,2147471360,4510259479
async,1024,2147483648,34978266936
async,128,2147483648,215970333645
async,1048576,2147483648,888069229
async,102400,2147328000,1120129570
async,10240,2147471360,4262021618
async,1024,2147483648,34922988814
async,128,2147483648,217405854341
async,1048576,2147483648,878948903
async,102400,2147328000,1131451513
async,10240,2147471360,4289802467
async,1024,2147483648,34577220165
async,128,2147483648,215985418586
async,1048576,2147483648,875486561
async,102400,2147328000,1124099546
async,10240,2147471360,4299338804
async,1024,2147483648,35730343181
async,128,2147483648,218277812396
async,1048576,2147483648,879364831
async,102400,2147328000,1118305590
async,10240,2147471360,4269790978
async,1024,2147483648,35237929942
async,128,2147483648,218244876522
sync,1048576,2147483648,1150070796
sync,102400,2147328000,1680325395
sync,10240,2147471360,6637984876
sync,1024,2147483648,57023903588
sync,128,2147483648,301035465890
sync,1048576,2147483648,1159250798
sync,102400,2147328000,1731425528
sync,10240,2147471360,6576604538
sync,1024,2147483648,55409852726
sync,128,2147483648,321341213544
sync,1048576,2147483648,1171575272
sync,102400,2147328000,1703143637
sync,10240,2147471360,7094887923
sync,1024,2147483648,57834101027
sync,128,2147483648,330135273280
sync,1048576,2147483648,1232127960
sync,102400,2147328000,1831256568
sync,10240,2147471360,7853258305
sync,1024,2147483648,64417446923
sync,128,2147483648,334489021251
sync,1048576,2147483648,1182995919
sync,102400,2147328000,1725999979
sync,10240,2147471360,7046555541
sync,1024,2147483648,58480085702
sync,128,2147483648,328383634395
