sync,1048576,2147483648,553530826
sync,102400,2147328000,395814476
sync,10240,2147471360,1214233777
sync,1024,2147483648,3088015886
sync,128,2147483648,16593155517
sync,16,2147483648,137277945026
async,1048576,2147483648,395091597
async,102400,2147328000,315895695
async,10240,2147471360,671917381
async,1024,2147483648,1203493772
async,128,2147483648,9259139839
async,16,2147483648,66653264266
sync,1048576,2147483648,309796237
sync,102400,2147328000,682836166
sync,10240,2147471360,1202097908
sync,1024,2147483648,3481071976
sync,128,2147483648,17061995713
sync,16,2147483648,112273980017
async,1048576,2147483648,552088574
async,102400,2147328000,451779320
async,10240,2147471360,298619329
async,1024,2147483648,1134831748
async,128,2147483648,8158724907
async,16,2147483648,69621226294
sync,1048576,2147483648,306437028
sync,102400,2147328000,428950549
sync,10240,2147471360,1124370431
sync,1024,2147483648,3026940264
sync,128,2147483648,19809310360
sync,16,2147483648,129356246061
async,1048576,2147483648,510716507
async,102400,2147328000,700622650
async,10240,2147471360,544387270
async,1024,2147483648,1715235345
async,128,2147483648,9633067421
async,16,2147483648,60091333041
sync,1048576,2147483648,321119461
sync,102400,2147328000,339878764
sync,10240,2147471360,808756657
sync,1024,2147483648,3386529546
sync,128,2147483648,16999961776
sync,16,2147483648,101785855287
async,1048576,2147483648,497527024
async,102400,2147328000,506781314
async,10240,2147471360,667922482
async,1024,2147483648,1258869704
async,128,2147483648,8939562308
async,16,2147483648,59549273389
sync,1048576,2147483648,396122131
sync,102400,2147328000,332807330
sync,10240,2147471360,616571478
sync,1024,2147483648,2003456841
sync,128,2147483648,19103279257
sync,16,2147483648,103731429719
async,1048576,2147483648,387231525
async,102400,2147328000,687758423
async,10240,2147471360,292661193
async,1024,2147483648,1546320254
async,128,2147483648,9335405458
async,16,2147483648,62873539660
sync,1048576,2147483648,309484273
sync,102400,2147328000,733837848
sync,10240,2147471360,638771936
sync,1024,2147483648,2975172957
sync,128,2147483648,15960930224
sync,16,2147483648,139563122307
async,1048576,2147483648,490466996
async,102400,2147328000,664501142
async,10240,2147471360,292293915
async,1024,2147483648,1542458589
async,128,2147483648,8075865625
async,16,2147483648,75226176789
sync,1048576,2147483648,561974790
sync,102400,2147328000,701183997
sync,10240,2147471360,1190581623
sync,1024,2147483648,2501610832
sync,128,2147483648,18223999696
sync,16,2147483648,156384364815
async,1048576,2147483648,560190242
async,102400,2147328000,684236039
async,10240,2147471360,655745757
async,1024,2147483648,1655304239
async,128,2147483648,9208474782
async,16,2147483648,76352722925
sync,1048576,2147483648,560617294
sync,102400,2147328000,690040202
sync,10240,2147471360,736847760
sync,1024,2147483648,3069747649
sync,128,2147483648,16781497977
sync,16,2147483648,165120680314
async,1048576,2147483648,469508280
async,102400,2147328000,687468592
async,10240,2147471360,472407437
async,1024,2147483648,1153501499
async,128,2147483648,8718441946
async,16,2147483648,77357304013
sync,1048576,2147483648,575673852
sync,102400,2147328000,711685169
sync,10240,2147471360,686811230
sync,1024,2147483648,2455251208
sync,128,2147483648,16677727025
sync,16,2147483648,156624061553
async,1048576,2147483648,454779418
async,102400,2147328000,589358326
async,10240,2147471360,614952969
async,1024,2147483648,1686549275
async,128,2147483648,10153422839
async,16,2147483648,80803806310
sync,1048576,2147483648,405858504
sync,102400,2147328000,697799398
sync,10240,2147471360,679329990
sync,1024,2147483648,2478784171
sync,128,2147483648,20575543778
sync,16,2147483648,158129404623
async,1048576,2147483648,301318259
async,102400,2147328000,687267119
async,10240,2147471360,667237325
async,1024,2147483648,1374300197
async,128,2147483648,8920085181
async,16,2147483648,79662491987
sync,1048576,2147483648,564568639
sync,102400,2147328000,697719102
sync,10240,2147471360,751825343
sync,1024,2147483648,2571385577
