102400,20889600,164326123
10240,20971520,233677863
1024,20971520,1760520677
128,20971520,9322929199
1048576,20971520,146534933
102400,20889600,212522629
10240,20971520,286334875
1024,20971520,1451585860
128,20971520,10379803568
1048576,20971520,176040731
102400,20889600,202882706
10240,20971520,240159576
1024,20971520,1433319932
128,20971520,9382032065
102400,20889600,151735663
10240,20971520,193430956
1024,20971520,1311277673
128,20971520,9383450256
102400,20889600,145989047
10240,20971520,243563734
1024,20971520,1629477348
128,20971520,10914782144
1048576,20971520,224734414
102400,20889600,153262694
10240,20971520,198530390
1024,20971520,1364695297
128,20971520,9717045952
