1048576,20971520,141195305
102400,20889600,153954904
10240,20971520,277538847
1024,20971520,2191831251
128,20971520,14157117824
1048576,20971520,130129539
102400,20889600,95830479
10240,20971520,289818445
1024,20971520,2981383640
128,20971520,13358151055
1048576,20971520,135143222
102400,20889600,114206978
10240,20971520,282093956
1024,20971520,2256380666
128,20971520,14640279720
1048576,20971520,112271686
102400,20889600,232533851
10240,20971520,251995137
1024,20971520,1912912163
128,20971520,17956126068
1048576,20971520,183210703
102400,20889600,107194691
10240,20971520,245087169
1024,20971520,2184097618
128,20971520,15679677772
1048576,20971520,115700684
102400,20889600,95453811
10240,20971520,284632907
1024,20971520,1934497852
128,20971520,14343495655
1048576,20971520,260176030
102400,20889600,116420935
10240,20971520,311866486
1024,20971520,2791231285
128,20971520,13853064567
1048576,20971520,119501090
102400,20889600,112950985
10240,20971520,258897554
1024,20971520,2977603601
128,20971520,13444373233
1048576,20971520,217011749
102400,20889600,116643262
10240,20971520,320408882
1024,20971520,1706493575
128,20971520,13728309023
1048576,20971520,110665193
102400,20889600,91909791
10240,20971520,284122440
1024,20971520,2227095065
128,20971520,13113084259
1048576,20971520,131404040
102400,20889600,132482946
10240,20971520,247004398
1024,20971520,2066647560
128,20971520,13611516030
1048576,20971520,231581235
102400,20889600,112892072
10240,20971520,280305250
1024,20971520,2667965708
128,20971520,16427523223
