scaled,threads,problem_size,buckets,time
scaled,6,60000000,100,12.343145
unscaled,6,10000000,100,2.040192
scaled,7,70000000,100,13.864150
unscaled,7,10000000,100,1.938641
scaled,8,80000000,100,15.383700
unscaled,8,10000000,100,1.804724
scaled,9,90000000,100,17.365815
unscaled,9,10000000,100,1.815420
scaled,10,100000000,100,18.863224
unscaled,10,10000000,100,2.232215
scaled,11,110000000,100,20.342417
unscaled,11,10000000,100,2.415981
scaled,12,120000000,100,21.724355
unscaled,12,10000000,100,2.476647
scaled,1,10000000,1000,3.879790
unscaled,1,10000000,1000,3.922775
scaled,2,20000000,1000,5.588448
unscaled,2,10000000,1000,2.964202
scaled,3,30000000,1000,6.702736
unscaled,3,10000000,1000,2.140721
scaled,4,40000000,1000,7.951325
unscaled,4,10000000,1000,1.947296
scaled,5,50000000,1000,9.049919
unscaled,5,10000000,1000,1.710969
scaled,6,60000000,1000,9.906204
unscaled,6,10000000,1000,1.529636
scaled,7,70000000,1000,10.254464
unscaled,7,10000000,1000,1.497476
scaled,8,80000000,1000,11.080674
unscaled,8,10000000,1000,1.374856
scaled,9,90000000,1000,15.411247
unscaled,9,10000000,1000,1.290997
scaled,10,100000000,1000,13.143150
unscaled,10,10000000,1000,2.079051
scaled,11,110000000,1000,14.280985
unscaled,11,10000000,1000,1.579365
scaled,12,120000000,1000,18.934643
unscaled,12,10000000,1000,1.669443
scaled,1,10000000,10000,3.571877
unscaled,1,10000000,10000,3.622072
scaled,2,20000000,10000,5.164636
unscaled,2,10000000,10000,2.584195
scaled,3,30000000,10000,6.448128
unscaled,3,10000000,10000,2.127852
scaled,4,40000000,10000,7.009028
unscaled,4,10000000,10000,1.775397
scaled,5,50000000,10000,8.177082
unscaled,5,10000000,10000,1.536156
scaled,6,60000000,10000,8.390766
unscaled,6,10000000,10000,1.451641
scaled,7,70000000,10000,10.145444
unscaled,7,10000000,10000,1.413656
scaled,8,80000000,10000,10.551374
unscaled,8,10000000,10000,1.215241
scaled,9,90000000,10000,10.718242
unscaled,9,10000000,10000,1.194567
scaled,10,100000000,10000,11.843056
unscaled,10,10000000,10000,1.920800
scaled,11,110000000,10000,12.535996
unscaled,11,10000000,10000,1.569297
scaled,12,120000000,10000,16.540058
unscaled,12,10000000,10000,1.408737
scaled,1,10000000,100000,3.280467
unscaled,1,10000000,100000,3.515201
scaled,2,20000000,100000,5.319524
unscaled,2,10000000,100000,2.541030
scaled,3,30000000,100000,6.149647
unscaled,3,10000000,100000,1.897485
scaled,4,40000000,100000,7.337156
unscaled,4,10000000,100000,1.692129
scaled,5,50000000,100000,7.747483
unscaled,5,10000000,100000,1.493423
scaled,6,60000000,100000,8.165397
unscaled,6,10000000,100000,1.373563
scaled,7,70000000,100000,9.092274
unscaled,7,10000000,100000,1.360285
scaled,8,80000000,100000,9.765907
unscaled,8,10000000,100000,1.225227
scaled,9,90000000,100000,10.596514
unscaled,9,10000000,100000,1.159343
scaled,10,100000000,100000,15.180156
unscaled,10,10000000,100000,1.529582
scaled,11,110000000,100000,12.680877
unscaled,11,10000000,100000,1.500827
scaled,12,120000000,100000,17.089256
unscaled,12,10000000,100000,1.794747
scaled,1,100000000,10,59.840947
unscaled,1,100000000,10,55.004851
scaled,2,200000000,10,78.334217
unscaled,2,100000000,10,46.133652
scaled,3,300000000,10,144.330500
unscaled,3,100000000,10,42.188490
scaled,4,400000000,10,163.842930
unscaled,4,100000000,10,39.291679
scaled,5,500000000,10,184.619631
unscaled,5,100000000,10,36.642791
scaled,6,600000000,10,233.525720
unscaled,6,100000000,10,37.995843
scaled,7,700000000,10,266.114370
unscaled,7,100000000,10,37.993072
scaled,8,800000000,10,297.808163
unscaled,8,100000000,10,38.514811
scaled,9,900000000,10,329.497252
unscaled,9,100000000,10,35.662042
scaled,10,1000000000,10,334.990061
unscaled,10,100000000,10,31.315983
scaled,11,1100000000,10,392.085702
unscaled,11,100000000,10,36.772609
scaled,12,1200000000,10,444.759113
unscaled,12,100000000,10,36.667606
scaled,1,100000000,100,48.550683
unscaled,1,100000000,100,48.219020
scaled,2,200000000,100,70.609068
unscaled,2,100000000,100,39.028912
